Species,Body Mass (g),Culmen Length (mm),flipper_length,length_mass_ration
Gentoo penguin (Pygoscelis papua),6300,49.2,221,0.03507936507936508
Gentoo penguin (Pygoscelis papua),5850,48.4,213,0.03641025641025641
Gentoo penguin (Pygoscelis papua),6000,51.1,220,0.03666666666666667
Gentoo penguin (Pygoscelis papua),6000,48.8,222,0.037
Gentoo penguin (Pygoscelis papua),5850,49.3,217,0.03709401709401709
Gentoo penguin (Pygoscelis papua),5950,45.2,223,0.03747899159663866
Gentoo penguin (Pygoscelis papua),5500,48.1,209,0.038
Gentoo penguin (Pygoscelis papua),6050,59.6,230,0.03801652892561983
Gentoo penguin (Pygoscelis papua),5650,47.8,215,0.03805309734513274
Gentoo penguin (Pygoscelis papua),5700,50,218,0.03824561403508772
Gentoo penguin (Pygoscelis papua),5700,50.2,218,0.03824561403508772
Gentoo penguin (Pygoscelis papua),5950,49.8,229,0.038487394957983194
Gentoo penguin (Pygoscelis papua),5750,50.4,222,0.03860869565217391
Gentoo penguin (Pygoscelis papua),5350,48.7,208,0.0388785046728972
Gentoo penguin (Pygoscelis papua),5550,49,216,0.03891891891891892
Gentoo penguin (Pygoscelis papua),5500,46.8,215,0.03909090909090909
Gentoo penguin (Pygoscelis papua),5850,55.1,230,0.039316239316239315
Gentoo penguin (Pygoscelis papua),5400,49.9,213,0.03944444444444444
Gentoo penguin (Pygoscelis papua),5700,49.6,225,0.039473684210526314
Gentoo penguin (Pygoscelis papua),5800,49.5,229,0.03948275862068965
Adelie Penguin (Pygoscelis adeliae),4650,39.8,184,0.03956989247311828
Gentoo penguin (Pygoscelis papua),5550,50,220,0.03963963963963964
Gentoo penguin (Pygoscelis papua),5650,49.5,224,0.03964601769911504
Gentoo penguin (Pygoscelis papua),5800,48.6,230,0.039655172413793106
Gentoo penguin (Pygoscelis papua),5400,47.6,215,0.03981481481481482
Gentoo penguin (Pygoscelis papua),5500,53.4,219,0.039818181818181815
Gentoo penguin (Pygoscelis papua),5550,50.5,222,0.04
Gentoo penguin (Pygoscelis papua),5550,50.7,223,0.04018018018018018
Gentoo penguin (Pygoscelis papua),5700,50,230,0.04035087719298246
Gentoo penguin (Pygoscelis papua),5700,49.8,230,0.04035087719298246
Gentoo penguin (Pygoscelis papua),5550,50.4,224,0.04036036036036036
Gentoo penguin (Pygoscelis papua),5450,52.5,221,0.04055045871559633
Gentoo penguin (Pygoscelis papua),5300,45.2,215,0.040566037735849055
Gentoo penguin (Pygoscelis papua),5600,50.8,228,0.04071428571428572
